# 讀音覆寫（表層<TAB>假名）：UniDic 會挑另一種讀法、或人名讀法不同時，以這裡為準。validate_content.py 讀取。
# 人名（台灣姓氏用中文音讀）
林	りん
陳	ちん
王	おう
李	り
張	ちょう
黃	こう
吳	ご
劉	りゅう
蔡	さい
楊	よう
田中	たなか
# UniDic 偏好 にっぽん，教學用 にほん
日本	にほん
日本人	にほんじん
日本語	にほんご
# 時刻：UniDic 給 ななじ／きゅうじ，標準是 しちじ／くじ／よじ
四時	よじ
七時	しちじ
九時	くじ
四分	よんぷん
七分	ななふん
九分	きゅうふん
一時	いちじ
# 助數詞促音／半濁音（UniDic 給 はちさい／はちふん）
一歳	いっさい
八歳	はっさい
十歳	じゅっさい
二十歳	はたち
一分	いっぷん
三分	さんぷん
六分	ろっぷん
八分	はっぷん
十分	じゅっぷん
# 日期（UniDic 給 さんにち 之類）
三日	みっか
四日	よっか
五日	いつか
六日	むいか
七日	なのか
八日	ようか
九日	ここのか
十日	とおか
十四日	じゅうよっか
二十四日	にじゅうよっか
